slug,companyURL,companyMembersURL,companyNameNAICS,LinkedIn Company Name,employeesCount,LinkedIn Company IDs
acadiaio,https://www.linkedin.com/company/acadiaio,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22392032%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACADIA IO LLC,Acadia,163,392032
acadian-asset-management,https://www.linkedin.com/company/acadian-asset-management,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2219532%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACADIAN ASSET MANAGEMENT LLC,Acadian Asset Management,420,19532
accelerant-software,https://www.linkedin.com/company/accelerant-software,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222441743%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCELERANT SOFTWARE INC,Accelerant,34,2441743
accelered,https://www.linkedin.com/company/accelered,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2211210573%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCELERED LLC,AccelerEd,140,11210573
accell-global-risk-solutions-inc,https://www.linkedin.com/company/accell-global-risk-solutions-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222835072%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCELL GLOBAL RISK SOLUTIONS INC,"Accell Global Risk Solutions, Inc",22,2835072
accelera-solutions,https://www.linkedin.com/company/accelera-solutions,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2298066%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCELURA CORPORATION,Accelera Solutions,77,98066
accentcare,https://www.linkedin.com/company/accentcare,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2233338%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCENTCARE INC,AccentCare,3258,33338
access-psychology-services-pc,https://www.linkedin.com/company/access-psychology-services-pc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2257387556%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCESS PSYCHOLOGY SERVICES PC,ACCESS PSYCHOLOGY SERVICES PC,6,57387556
accident-fund-insurance-company-of-america,https://www.linkedin.com/company/accident-fund-insurance-company-of-america,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2233355%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCIDENT FUND INSURANCE COMPANY OF AMERICA,Accident Fund Insurance Company of …,581,33355
acclaim-systems,https://www.linkedin.com/company/acclaim-systems,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2248209%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCLAIM SYSTEMS INC,Acclaim Systems,125,48209
acco-brands,https://www.linkedin.com/company/acco-brands,https://www.linkedin.com/search/results/people/?currentCompany=%5B%225703%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCO BRANDS USA LLC,ACCO Brands,2705,5703
accolade-inc-,https://www.linkedin.com/company/accolade-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22579052%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCOLADE INC,"Accolade, Inc.",1405,579052
accordion-partners,https://www.linkedin.com/company/accordion-partners,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22648101%22%2C%2293127%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCORDION PARTNERS LLC,Accordion,433,648101|93127
accuity,https://www.linkedin.com/company/accuity,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22205627%22%2C%2251706%22%2C%221607721%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCUITY INC,Accuity,303,205627|51706|1607721
accupath-diagnostic-laboratories-inc,https://www.linkedin.com/company/accupath-diagnostic-laboratories-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2254850212%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACCUPATH DIAGNOSTIC LABORATORIES I,"ACCUPATH DIAGNOSTIC LABORATORIES, INC",5,54850212
